LAT	IT	DE	FR	ES	PT	EN
Calidris sp. (peep sp.)			Calidris sp.			peep sp.
Calidris sp.			Calidris sp.			Calidris sp.
Limnodromus griseus	Limnodromo grigio	Kleiner Schlammläufer	Bécassin roux	Agujeta Gris	Maçarico-de-costa-branca	Short-billed Dowitcher
Limnodromus griseus griseus			Bécassin roux (griseus)			Short-billed Dowitcher (griseus)
Limnodromus scolopaceus	Limnodromo pettorossiccio	Großer Schlammläufer	Bécassin à long bec	Agujeta Escolopácea	Maçarico-escolopáceo-americano	Long-billed Dowitcher
Limnodromus griseus/scolopaceus	Limnodromo beccocorto	Kleiner Schlammläufer	Bécassin roux	Agujeta Gris	narceja-de-costas-brancas	Short-billed/Long-billed Dowitcher
Lymnocryptes minimus	Frullino	Zwergschnepfe	Bécassine sourde	Agachadiza Chica	Narceja-galega	Jack Snipe
Scolopax rusticola	Beccaccia	Waldschnepfe	Bécasse des bois	Chocha Perdiz	Galinhola	Eurasian Woodcock
Scolopax minor	Beccaccia americana	Kanadaschnepfe	Bécasse d'Amérique	Chocha Americana	Galinhola-pequena	American Woodcock
Gallinago media	Croccolone	Doppelschnepfe	Bécassine double	Agachadiza Real	Narceja-real	Great Snipe
Gallinago gallinago	Beccaccino	Bekassine	Bécassine des marais	Agachadiza común	Narceja-comum	Common Snipe
Gallinago delicata	Beccaccino nordamericano	Wilsonbekassine	Bécassine de Wilson	Agachadiza de Wilson	Narceja-americana	Wilson's Snipe
Gallinago gallinago/delicata	Beccaccino comune	Bekassine	Bécassine des marais	Agachadiza Común	Narceja-comum	Common/Wilson's Snipe
Gallinago stenura	Beccaccino stenuro	Spießbekassine	Bécassine à queue pointue	Agachadiza Colirrara	Narceja-siberiana	Pin-tailed Snipe
Gallinago megala	Beccaccino di Swinhoe	Waldbekassine	Bécassine de Swinhoe	Agachadiza del Baikal	Narceja de Swinhoe	Swinhoe's Snipe
Gallinago sp.			Gallinago sp.			snipe sp.
Xenus cinereus	Piro piro del Terek	Terekwasserläufer	Chevalier bargette	Andarríos del Terek	Maçarico-sovela	Terek Sandpiper
Phalaropus tricolor	Falaropo di Wilson	Wilsonwassertreter	Phalarope de Wilson	Falaropo Tricolor	Falaropo de Wilson	Wilson's Phalarope
Phalaropus lobatus	Falaropo beccosottile	Odinshühnchen	Phalarope à bec étroit	Falaropo Picofino	Falaropo-de-bico-fino	Red-necked Phalarope
Phalaropus fulicarius	Falaropo beccolargo	Thorshühnchen	Phalarope à bec large	Falaropo Picogrueso	Falaropo-de-bico-grosso	Red Phalarope
Phalaropus lobatus/fulicarius			Phalarope à bec étroit ou P. à bec large			Red-necked/Red Phalarope
Phalaropus sp.			Phalaropus sp.			phalarope sp.
Actitis hypoleucos	Piro piro piccolo	Flußuferläufer	Chevalier guignette	Andarríos Chico	Maçarico-das-rochas	Common Sandpiper
Actitis macularius	Piro piro macchiato	Drosseluferläufer	Chevalier grivelé	Andarríos Maculado	Maçarico-maculado	Spotted Sandpiper
Actitis hypoleucos/macularius			Chevalier guignette ou C. grivelé			Common/Spotted Sandpiper
Tringa ochropus	Piro piro culbianco	Waldwasserläufer	Chevalier cul-blanc	Andarríos Grande	Pássaro-bique-bique	Green Sandpiper
Tringa solitaria	Piro piro solitario	Einsamer Wasserläufer	Chevalier solitaire	Andarríos Solitario	Maçarico-solitário	Solitary Sandpiper
Tringa solitaria solitaria			Chevalier solitaire (de l'Est)	Chorlo Solitario del Este		Solitary Sandpiper (solitaria)
Tringa brevipes	Piro piro siberiano	Grauschwanz-Wasserläufer	Chevalier de Sibérie	Playero Siberiano	Maçarico-cinzento	Gray-tailed Tattler
Tringa brevipes/incana	Totano vagabondo	Wanderwasserläufer	Chevalier de Sibérie ou C. errant	Playero de Alaska	Maçarico-itinerante	Gray-tailed/Wandering Tattler
Tringa erythropus	Totano moro	Dunkler Wasserläufer	Chevalier arlequin	Archibebe Oscuro	Perna-vermelha-escuro	Spotted Redshank
Tringa melanoleuca	Totano zampegialle maggiore	Großer Gelbschenkel	Grand Chevalier	Archibebe Patigualdo Grande	Perna-amarela-grande	Greater Yellowlegs
Tringa nebularia	Pantana	Grünschenkel	Chevalier aboyeur	Archibebe Claro	Perna-verde-comum	Common Greenshank
Tringa semipalmata	Piro piro semipalmato	Schlammtreter	Chevalier semipalmé	Playero Aliblanco	Maçarico-de-asa-branca	Willet
Tringa semipalmata semipalmata			Chevalier semipalmé (de l'Est)	Chorlito Ala Blanca		Willet (Eastern)
Tringa semipalmata inornata			Chevalier semipalmé (de l'Ouest)			Willet (Western)
Tringa flavipes	Totano zampegialle minore	Kleiner Gelbschenkel	Petit Chevalier	Archibebe Patigualdo Chico	Perna-amarela-pequeno	Lesser Yellowlegs
Tringa melanoleuca/flavipes			Grand ou Petit Chevalier			Greater/Lesser Yellowlegs
Tringa stagnatilis	Albastrello	Teichwasserläufer	Chevalier stagnatile	Archibebe Fino	Perna-verde-fino	Marsh Sandpiper
Tringa glareola	Piro piro boschereccio	Bruchwasserläufer	Chevalier sylvain	Andarríos Bastardo	Maçarico-bastardo	Wood Sandpiper
Tringa totanus	Pettegola	Rotschenkel	Chevalier gambette	Archibebe Común	Perna-vermelha-comum	Common Redshank
Tringa sp.			Tringa sp.			Tringa sp.
Scolopacidae sp.			Bécasseau sp.			Scolopacidae sp.
Scolopacidae sp. (large shorebird sp.)			Grand Limicole sp.			large shorebird sp.
Turnix sylvaticus	Quaglia tridattila	Laufhühnchen	Turnix d'Andalousie	Torillo Andaluz	Toirão	Small Buttonquail
Cursorius cursor	Corrione biondo	Rennvogel	Courvite isabelle	Corredor sahariano	Corredor	Cream-colored Courser
Glareola pratincola	Pernice di mare	Rotflügel-Brachschwalbe	Glaréole à collier	Canastera Común	Perdiz-do-mar	Collared Pratincole
Glareola maldivarum	Pernice di mare dal collare	Orientbrachschwalbe	Glaréole orientale	Canastera Oriental	Perdiz-do-mar-oriental	Oriental Pratincole
Glareola nordmanni	Pernice di mare orientale	Schwarzflügel-Brachschwalbe	Glaréole à ailes noires	Canastera Alinegra	Perdiz-do-mar-d'asa-preta	Black-winged Pratincole
Glareola pratincola/nordmanni			Glaréole à collier ou G. à ailes noires			Collared/Black-winged Pratincole
Glareola sp.			Glareola sp.			pratincole sp.
Charadriiformes sp.			Limicole sp.			shorebird sp.
Stercorarius skua	Stercorario maggiore	Skua	Grand Labbe	Págalo Grande	Moleiro-grande	Great Skua
Stercorarius maccormicki	Stercorario di McCormick	Antarktikskua	Labbe de McCormick	Págalo Polar	Moleiro-antárctico	South Polar Skua
Stercorarius sp. (skua sp.)			Catharacta sp.			skua sp.
Stercorarius pomarinus	Stercorario mezzano	Spatelraubmöwe	Labbe pomarin	Págalo Pomarino	Moleiro-pomarino	Pomarine Jaeger
Stercorarius parasiticus	Labbo	Schmarotzerraubmöwe	Labbe parasite	Págalo Parásito	Moleiro-parasítico	Parasitic Jaeger
Stercorarius pomarinus/parasiticus			Labbe pomarin ou L. parasite			Pomarine/Parasitic Jaeger
Stercorarius longicaudus	Labbo codalunga	Falkenraubmöwe	Labbe à longue queue	Págalo Rabero	Moleiro-de-cauda-comprida	Long-tailed Jaeger
Stercorarius pomarinus/longicaudus			Labbe pomarin ou L. à longue queue			Pomarine/Long-tailed Jaeger
Stercorarius parasiticus/longicaudus			Labbe parasite ou L. à longue queue			Parasitic/Long-tailed Jaeger
Stercorarius sp. (jaeger sp.)			Labbe pomarin, L. parasite ou L. à longue queue			jaeger sp.
Stercorarius sp.			Labbe sp.			jaeger/skua sp.
Alle alle	Gazza marina minore	Krabbentaucher	Mergule nain	Mérgulo Atlántico	Torda-anã	Dovekie
Uria aalge	Uria	Trottellumme	Guillemot marmette	Arao Común	Arau-comum	Common Murre
Uria lomvia	Uria di Brunnich	Dickschnabellumme	Guillemot de Brünnich	Arao de Brünnich	Arau de Brünnich	Thick-billed Murre
Uria aalge/lomvia	Uria	Trottellumme	Guillemot marmette ou G. de Brünnich	Arao Común	Arau-comum	Common/Thick-billed Murre
Alca torda	Gazza marina	Tordalk	Petit Pingouin	Alca Común	Torda-mergulheira	Razorbill
Uria/Alca sp.			Gros Alcidé sp.			large alcid sp.
Pinguinus impennis	Alca impenne	Riesenalk	Grand Pingouin	Alca Gigante	Torda-grande	Great Auk
Cepphus grylle	Uria nera	Gryllteiste	Guillemot à miroir	Arao Aliblanco	Arau-d'asa-branca	Black Guillemot
Cepphus grylle mandtii	Uria nera	Gryllteiste-mandtii	Guillemot à miroir (Nord)	Arao aliblanco		Black Guillemot (mandtii)
Cepphus grylle [grylle Group]	Uria nera	Gryllteiste-grylle	Guillemot à miroir [grylle]	Arao aliblanco		Black Guillemot (grylle Group)
Cepphus columba	Uria colombina	Taubenteiste	Guillemot colombin	Arao Colombino	Airo-columbino	Pigeon Guillemot
Cepphus grylle/columba	Uria nera	Gryllteiste	Guillemot à miroir ou G. colombin	Arao Aliblanco	Arau-d'asa-branca	Black/Pigeon Guillemot
Brachyramphus perdix	Urietta beccolungo	Langschnabelalk	Guillemot à long bec	Mérgulo jaspeado asiático		Long-billed Murrelet
Aethia psittacula	Alchetta psittacina	Rotschnabelalk	Starique perroquet	Mérgulo Lorito	Torda-papagaio	Parakeet Auklet
Fratercula arctica	Pulcinella di mare	Papageitaucher	Macareux moine	Frailecillo Atlántico	Papagaio-do-mar	Atlantic Puffin
Fratercula cirrhata	Pulcinella dai ciuffi	Gelbschopflund	Macareux huppé	Frailecillo Coletudo	Papagaio-do-mar-de-penachos	Tufted Puffin
Alcidae sp.			Alcidé sp.			alcid sp.
Rissa tridactyla	Gabbiano tridattilo	Dreizehenmöwe	Mouette tridactyle	Gaviota Tridáctila	Gaivota-tridáctila	Black-legged Kittiwake
Rissa tridactyla tridactyla			Mouette tridactyle (nominal)			Black-legged Kittiwake (tridactyla)
Pagophila eburnea	Gabbiano eburneo	Elfenbeinmöwe	Mouette blanche	Gaviota Marfileña	Gaivota-marfim	Ivory Gull
Xema sabini	Gabbiano di Sabine	Schwalbenmöwe	Mouette de Sabine	Gaviota de Sabine	Gaivota de Sabine	Sabine's Gull
Chroicocephalus genei	Gabbiano roseo	Dünnschnabelmöwe	Goéland railleur	Gaviota Picofina	Gaivota-de-bico-fino	Slender-billed Gull
Chroicocephalus philadelphia	Gabbiano di Bonaparte	Bonapartemöwe	Mouette de Bonaparte	Gaviota de Bonaparte	Gaivota de Bonaparte	Bonaparte's Gull
Chroicocephalus cirrocephalus	Gabbiano testagrigia	Graukopfmöwe	Mouette à tête grise	Gaviota Cabecigrís	Gaivota-de-cabeça-cinza	Gray-hooded Gull
Chroicocephalus ridibundus	Gabbiano comune	Lachmöwe	Mouette rieuse	Gaviota Reidora	Guincho-comum	Black-headed Gull
Chroicocephalus genei/ridibundus			Mouette rieuse ou Goéland railleur			Slender-billed/Black-headed Gull
Hydrocoloeus minutus	Gabbianello	Zwergmöwe	Mouette pygmée	Gaviota Enana	Gaivota-pequena	Little Gull
Rhodostethia rosea	Gabbiano di Ross	Rosenmöwe	Mouette rosée	Gaviota Rosada	Gaivota-rósea	Ross's Gull
Leucophaeus atricilla	Gabbiano sghignazzante	Aztekenmöwe	Mouette atricille	Gaviota Guanaguanare	Guincho-americano	Laughing Gull
Leucophaeus pipixcan	Gabbiano di Franklin	Präriemöwe	Mouette de Franklin	Gaviota Pipizcan	Gaivota de Franklin	Franklin's Gull
Leucophaeus atricilla/pipixcan			Mouette de Franklin ou M. atricille			Laughing/Franklin's Gull
Ichthyaetus melanocephalus	Gabbiano corallino	Schwarzkopfmöwe	Mouette mélanocéphale	Gaviota Cabecinegra	Gaivota-de-cabeça-preta	Mediterranean Gull
Chroicocephalus ridibundus x Ichthyaetus melanocephalus			Hybride Mouette rieuse x M. mélanocéphale			Black-headed x Mediterranean Gull (hybrid)
Chroicocephalus ridibundus/Ichthyaetus melanocephalus			Mouette rieuse ou M. mélanocéphale			Black-headed/Mediterranean Gull
Ichthyaetus relictus	Gabbiano relitto	Reliktmöwe	Mouette relique	Gaviota Relicta	Gaivota-relíquia	Relict Gull
Ichthyaetus leucophthalmus	Gabbiano occhibianchi	Weißaugenmöwe	Goéland à iris blanc	Gaviota Ojiblanca	Gaivota-d'olho-branco	White-eyed Gull
Ichthyaetus ichthyaetus	Gabbiano di Pallas	Fischmöwe	Goéland ichthyaète	Gavión Cabecinegro	Alcatraz-de-cabeça-preta	Pallas's Gull
Ichthyaetus audouinii	Gabbiano corso	Korallenmöwe	Goéland d'Audouin	Gaviota de Audouin	Gaivota de Audouin	Audouin's Gull
Larus canus	Gavina	Sturmmöwe	Goéland cendré	Gaviota Cana	Gaivota-parda	Mew Gull
Larus canus canus		Sturmmöwe	Goéland cendré (nominal)			Mew Gull (European)
Larus canus heinei		Sturmmöwe-heinei	Goéland cendré (henei)			Mew Gull (Russian)
Larus canus brachyrhynchus	Gavina d'Alaska		Goéland à bec court			Mew Gull (American)
Ichthyaetus melanocephalus x Larus canus			Hybride Goéland cendré x Mouette mélanocéphale			Mediterranean x Mew Gull (hybrid)
Larus delawarensis	Gavina americana	Ringschnabelmöwe	Goéland à bec cerclé	Gaviota de Delaware	Gaivota de Delaware	Ring-billed Gull
Larus argentatus	Gabbiano reale nordico	Silbermöwe	Goéland argenté	Gaviota argéntea europea	Gaivota-argêntea	Herring Gull
Larus argentatus smithsonianus	Gabbiano reale americano	Kanadamöwe	Goéland hudsonien	Gaviota Argéntea Americana	Gaivota-prateada-americana	Herring Gull (American)
Larus argentatus vegae			Goéland de La Véga (nominal)			Herring Gull (Vega)
Larus argentatus argentatus/argenteus	Gabbiano reale nordico	Silbermöwe	Goéland argenté	Gaviota argéntea europea	Gaivota-argêntea	Herring Gull (European)
Larus michahellis	Gabbiano reale	Mittelmeermöwe	Goéland leucophée	Gaviota Patiamarilla	Gaivota-de-patas-amarelas	Yellow-legged Gull
Larus michahellis atlantis		Silbermöwe-atlantis	Goéland de l'Atlantique		Gaivota-de-patas-amarelas	Yellow-legged Gull (atlantis)
Larus michahellis michahellis		Mittelmeermöwe	Goéland leucophée (nominal)			Yellow-legged Gull (michahellis)
Larus argentatus/michahellis			Goéland argenté ou G. leucophée			Herring/Yellow-legged Gull
Larus cachinnans	Gabbiano reale pontico	Steppenmöwe	Goéland pontique	Gaviota del Caspio	Gaivota-de-patas-amarelas	Caspian Gull
Larus argentatus x cachinnans			Hybride Goéland argenté x G. pontique			Herring x Caspian Gull (hybrid)
Larus michahellis/cachinnans	Gabbiano reale	Weisskopfmöwe	Goéland pontique	Gaviota de Patas Amarillas	Gaivota-de-patas-amarelas	Yellow-legged/Caspian Gull
Larus armenicus	Gabbiano reale d'Armenia	Armenienmöwe	Goéland d'Arménie	Gaviota Armenia	Gaivota da Arménia	Armenian Gull
Larus michahellis/cachinnans/armenicus	Gabbiano reale	Steppenmöwe	Goéland pontique	Gaviota del Caspio	Gaivota-de-patas-amarelas	Yellow-legged/Caspian/Armenian Gull
Larus glaucoides	Gabbiano islandico	Polarmöwe	Goéland arctique	Gaviota Groenlandesa	Gaivota-polar	Iceland Gull
Larus glaucoides kumlieni		Kumlienmöwe	Goéland arctique (Kumlien)			Iceland Gull (kumlieni)
Larus glaucoides glaucoides		Polarmöwe-glaucoides	Goéland arctique (nominal)			Iceland Gull (glaucoides)
Larus glaucoides glaucoides/kumlieni	Gabbiano d'Islanda	Polarmöwe	Goéland arctique	Gaviota Groenlandesa	Gaivota-polar	Iceland Gull (glaucoides/kumlieni)
Larus argentatus x glaucoides			Hybride Goéland argenté x G. de Thayer			Herring x Iceland Gull (hybrid)
Larus argentatus/glaucoides			Goéland argenté ou G. de Thayer			Herring/Iceland Gull
Larus fuscus	Zafferano	Heringsmöwe	Goéland brun	Gaviota sombría	gaivota-da-asa-escura	Lesser Black-backed Gull
Larus fuscus fuscus		Heringsmöwe-fuscus	Goéland balte	Gaviota Báltica		Lesser Black-backed Gull (fuscus)
Larus fuscus intermedius			Goéland scandinave			Lesser Black-backed Gull (intermedius)
Larus fuscus graellsii		Heringsmöwe-graellsii	Goéland brun			Lesser Black-backed Gull (graellsii)
Larus fuscus heuglini		Silbermöwe-heuglini	Goéland de Sibérie	Gaviota Encapuchada		Lesser Black-backed Gull (Heuglin's)
Larus fuscus barabensis		Steppenmöwe	Goéland des steppes			Lesser Black-backed Gull (Steppe)
Larus fuscus intermedius/graellsii			Goéland brun [intermedius or graellsii]			Lesser Black-backed Gull (intermedius/graellsii)
Larus argentatus x fuscus			Hybride Goéland argenté x G. brun			Herring x Lesser Black-backed Gull (hybrid)
Larus argentatus/fuscus			Goéland argenté ou G. brun			Herring/Lesser Black-backed Gull
Larus michahellis/fuscus			Goéland leucophée ou G. brun			Yellow-legged/Lesser Black-backed Gull
Larus schistisagus	Gabbiano dorsoardesia	Kamtschatkamöwe	Goéland à manteau ardoisé	Gaviota de Kamchatka	Gaivota-de-dorso-ardósia	Slaty-backed Gull
Larus glaucescens	Gabbiano di Bering	Beringmöwe	Goéland à ailes grises	Gaviota de Bering	Gaivota do Mar de Bering	Glaucous-winged Gull
Larus argentatus x glaucescens			Hybride Goéland argenté x G. à ailes grises			Herring x Glaucous-winged Gull (hybrid)
Larus hyperboreus	Gabbiano glauco	Eismöwe	Goéland bourgmestre	Gavión Hiperbóreo	Gaivota-hiperbórea	Glaucous Gull
Larus argentatus x hyperboreus			Goéland de Nelson			Herring x Glaucous Gull (hybrid)
Larus sp. (white-winged gull sp.)			Goéland sp. (à ailes blanches)			white-winged gull sp.
Larus marinus	Mugnaiaccio	Mantelmöwe	Goéland marin	Gavión Atlántico	Alcatraz-comum	Great Black-backed Gull
Larus hyperboreus x marinus			Hybride Goéland bourgmestre x G. marin			Glaucous x Great Black-backed Gull (hybrid)
Larus dominicanus	Mugnaiaccio australe	Dominikanermöwe	Goéland dominicain	Gaviota Cocinera	Gaivotño	Kelp Gull
Larus dominicanus vetula			Goéland du Cap			Kelp Gull (vetula)
Larus sp.			Larus sp.			Larus sp.
Larinae sp.			Goéland sp.			gull sp.
Onychoprion fuscatus	Sterna scura	Rußseeschwalbe	Sterne fuligineuse	Charrán Sombrío	Andorinha-do-mar-escura	Sooty Tern
Onychoprion anaethetus	Sterna dalle redini	Zügelseeschwalbe	Sterne bridée	Charrán Embridado	Gaivina-de-dorso-castanho	Bridled Tern
Onychoprion fuscatus/anaethetus			Sterne fuligineuse ou S. bridée			Sooty/Bridled Tern
Sternula albifrons	Fraticello	Zwergseeschwalbe	Sterne naine	Charrancito Común	Andorinha-do-mar-anã	Little Tern
Sternula albifrons/antillarum	Fraticello	Zwergseeschwalbe	Sterne naine	Charrancito Común	Andorinha-do-mar-anã	Little/Least Tern
Gelochelidon nilotica	Sterna zampenere	Lachseeschwalbe	Sterne hansel	Pagaza Piconegra	Gaivina-de-bico-preto	Gull-billed Tern
Gelochelidon nilotica [nilotica Group]	Sterna zampenere	Lachseeschwalbe	Sterne hansel	Pagaza piconegra	trinta-réis-de-bico-preto / tagaz	Gull-billed Tern (Gull-billed)
Hydroprogne caspia	Sterna maggiore	Raubseeschwalbe	Sterne caspienne	Pagaza Piquirroja	Gaivina-de-bico-vermelho	Caspian Tern
Chlidonias niger	Mignattino comune	Trauerseeschwalbe	Guifette noire	Fumarel Común	Gaivina-preta	Black Tern
Chlidonias niger niger		Trauerseeschwalbe-niger	Guifette noire (Paléarctique)			Black Tern (Eurasian)
Chlidonias niger surinamensis		Trauerseeschwalbe-surinamensis	Guifette noire (Amérique du Nord)	Gaviotín Negro		Black Tern (American)
Chlidonias leucopterus	Mignattino alibianche	Weißflügel-Seeschwalbe	Guifette leucoptère	Fumarel Aliblanco	Gaivina-d'asa-branca	White-winged Tern
Chlidonias hybrida	Mignattino piombato	Weißbart-Seeschwalbe	Guifette moustac	Fumarel Cariblanco	Gaivina-de-faces-brancas	Whiskered Tern
Chlidonias sp.			Chlidonias sp.			Chlidonias sp.
Sterna dougallii	Sterna di Dougall	Rosenseeschwalbe	Sterne de Dougall	Charrán Rosado	Andorinha-do-mar-rósea	Roseate Tern
Sterna hirundo	Sterna comune	Flußseeschwalbe	Sterne pierregarin	Charrán Común 	Andorinha-do-mar-comum	Common Tern
Sterna hirundo hirundo/tibetana			Sterne pierregarin [hirundo, tibetana ou minussensis]			Common Tern (hirundo/tibetana)
Sterna hirundo longipennis		Flußseeschwalbe-longipennis	Sterne pierregarin (Sibérie)			Common Tern (longipennis)
Sterna paradisaea	Sterna codalunga	Küstenseeschwalbe	Sterne arctique	Charrán ártico	Andorinha-do-mar-árctica	Arctic Tern
Sterna hirundo/paradisaea			Sterne pierregarin ou S. arctique			Common/Arctic Tern
Sterna forsteri	Sterna di Forster	Forsterseeschwalbe	Sterne de Forster	Charrán de Forster	Gaivina de Forster	Forster's Tern
Sterna repressa	Sterna guancebiache	Weißwangen-Seeschwalbe	Sterne à joues blanches	Charrán Arábigo	Gaivina-cinzenta	White-cheeked Tern
Sterna sp.			Sterna sp.			Sterna sp.
Thalasseus maximus	Sterna reale	Königsseeschwalbe	Sterne royale	Charrán Real	Garajau-real	Royal Tern
Thalasseus maximus albididorsalis	Sterna reale africana	Königsseeschwalbe-albididorsalis	Sterne d'Afrique			Royal Tern (African)
Thalasseus maximus maximus	Sterna reale	Königsseeschwalbe	Sterne royale	Gaviotín Real	trinta-réis-real / garajau-real	Royal Tern (American)
Thalasseus sandvicensis	Beccapesci	Brandseeschwalbe	Sterne caugek	Charrán Patinegro	Garajau-comum	Sandwich Tern
Thalasseus sandvicensis sandvicensis	Beccapesci	Brandseeschwalbe	Sterne caugek	Charrán patinegro	trinta-réis-de-bando	Sandwich Tern (Eurasian)
Thalasseus sandvicensis acuflavidus	Beccapesci americano		Sterne de Cabot		trinta-réis-de-bando	Sandwich Tern (Cabot's)
Thalasseus elegans	Sterna elegante	Schmuckseeschwalbe	Sterne élégante	Charrán Elegante	Garajau-elegante	Elegant Tern
Thalasseus sandvicensis x elegans			Hybride Sterne caugek x S. élégante			Sandwich x Elegant Tern (hybrid)
Thalasseus maximus/elegans			Sterne royale ou S. élégante			Royal/Elegant Tern
Thalasseus bengalensis	Sterna di Rüppell	Rüppellseeschwalbe	Sterne voyageuse	Charrán Bengalí	Gaivina-de-bico-laranja	Lesser Crested Tern
Thalasseus sp.			Thalasseus sp.			Thalasseus sp.
Hydroprogne/Thalasseus sp.			Grosse Sterne sp.			large tern sp.
Sterninae sp.			Sterne sp.			tern sp.
Laridae sp.			Goéland ou Sterne sp.			gull/tern sp.
Phaethon lepturus	Fetonte codabianca	Weißschwanz-Tropikvogel	Phaéton à bec jaune	Rabijunco Menor	Rabo-de-palha-de-bico-laranja	White-tailed Tropicbird
Phaethon lepturus catesbyi			Phaéton à bec jaune (Atlantique)			White-tailed Tropicbird (Atlantic)
Phaethon aethereus	Fetonte	Rotschnabel-Tropikvogel	Phaéton à bec rouge	Rabijunco Etéreo	Rabo de palha	Red-billed Tropicbird
Gavia stellata	Strolaga minore	Sterntaucher	Plongeon catmarin	Colimbo Chico	Mobêlha-pequena	Red-throated Loon
Gavia arctica	Strolaga mezzana	Prachttaucher	Plongeon arctique	Colimbo Ártico	Mobêlha-árctica	Arctic Loon
Gavia pacifica	Strolaga del Pacifico	Pazifiktaucher	Plongeon du Pacifique	Colimbo del Pacífico	Mobelha-do-pacífico	Pacific Loon
Gavia arctica/pacifica	Strolaga mezzana	Prachttaucher	Plongeon arctique	Colimbo Artico	Mobêlha-árctica	Arctic/Pacific Loon
Gavia immer	Strolaga maggiore	Eistaucher	Plongeon huard	Colimbo Grande	Mobêlha-grande	Common Loon
Gavia adamsii	Strolaga beccogiallo	Gelbschnabeltaucher	Plongeon à bec blanc	Colimbo de Adams	Mobêlha-de-bico-branco	Yellow-billed Loon
Gavia immer/adamsii			Plongeon huard ou P. à bec blanc			Common/Yellow-billed Loon
Gavia sp.			Gavia sp.			loon sp.
Thalassarche chlororhynchos	Albatros beccogiallo	Gelbnasenalbatros	Albatros à nez jaune	Albatros Clororrinco	Albatroz-de-nariz-amarelo	Yellow-nosed Albatross
Thalassarche chlororhynchos chlororhynchos	Albatros beccogiallo atlantico	Atlantik-Gelbnasenalbatros	Albatros à nez jaune	Albatros clororrinco atlántico	Albatroz-de-nariz-amarelo	Yellow-nosed Albatross (Atlantic)
Thalassarche melanophris	Albatros sopracciglineri	Schwarzbrauenalbatros	Albatros à sourcils noirs	Albatros Ojeroso	Albatroz-de-sobrancelha	Black-browed Albatross
Thalassarche melanophris melanophris	Albatros sopracciglineri	Schwarzbrauenalbatros	Albatros à sourcils noirs	Albatros ojeroso	Albatroz-olheirudo	Black-browed Albatross (Black-browed)
Thalassarche sp.			Thalassarche sp.			small albatross sp.
Diomedea exulans	Albatros urlatore	Wanderalbatros	Albatros hurleur	Albatros Viajero	Albatroz-gigante	Wandering Albatross
Diomedea exulans exulans	Albatros urlatore	Wanderalbatros	Albatros hurleur	Albatros Viajero	Albatroz-gigante	Wandering Albatross (Snowy)
Diomedea exulans dabbenena	Albatros urlatore atlantico	Tristanalbatros	Albatros de Tristan da Cunha	Albatros de Tristán de Acuña	Albatroz-de-tristão	Wandering Albatross (Tristan)
Oceanites oceanicus	Uccello delle tempeste di Wilson	Buntfuß-Sturmschwalbe	Océanite de Wilson	Paíño de Wilson	Painho de Wilson	Wilson's Storm-Petrel
Oceanites oceanicus oceanicus/exasperatus			Océanite de Wilson [oceanicus]	Petrel de las Tormentas de Wilson		Wilson's Storm-Petrel (Wilson's)
Oceanites sp.			Oceanites sp.			Oceanites sp.
Pelagodroma marina	Uccello delle tempeste facciabianca	Weißgesicht-Sturmschwalbe	Océanite frégate	Paíño Pechialbo	Painho-de-ventre-branco	White-faced Storm-Petrel
Fregetta tropica	Uccello delle tempeste pancianera	Schwarzbauch-Sturmschwalbe	Océanite à ventre noir	Paíño Ventrinegro	Painho-de-barriga-preta	Black-bellied Storm-Petrel
Hydrobates pelagicus	Uccello delle tempeste	Sturmschwalbe	Océanite tempête	Paíño Europeo	Paínho-de-cauda-quadrada	European Storm-Petrel
Hydrobates pelagicus pelagicus			Océanite tempête (pelagicus)			European Storm-Petrel (British)
Hydrobates pelagicus melitensis			Océanite tempête (melitensis)			European Storm-Petrel (Mediterranean)
Oceanodroma leucorhoa	Uccello delle tempeste codaforcuta	Wellenläufer	Océanite cul-blanc	Paíño Boreal	Painho-de-cauda-forcada	Leach's Storm-Petrel
Oceanodroma leucorhoa leucorhoa	Uccello delle tempeste codaforcuta	Wellenläufer-leucorhoa	Océanite cul-blanc (nominal)	Paíño Boreal	Painho-de-cauda-forcada	Leach's Storm-Petrel (Leach's)
Oceanodroma leucorhoa/socorroensis/cheimomnestes	Uccello delle tempeste codaforcuta	Wellenläufer	Océanite cul-blanc	Paíño Boreal	Painho-de-cauda-forcada	Leach's/Townsend's/Ainley's Storm-Petrel
Oceanodroma monorhis	Uccello delle tempeste di Swinhoe	Swinhoewellenläufer	Océanite de Swinhoe	Paíño de Swinhoe	Painho de Swinhoe	Swinhoe's Storm-Petrel
Oceanodroma castro	Uccello delle tempeste di Castro	Madeirawellenläufer	Océanite de Castro	Paíño de Madeira	Painho-da-ilha-da-madeira / Roquinho	Band-rumped Storm-Petrel
Oceanodroma castro castro			Océanite de Castro (nominal)			Band-rumped Storm-Petrel (Madeiran)
Oceanodroma castro [undescribed form]			Océanite de Castro (Grant)			Band-rumped Storm-Petrel (Grant's)
Oceanodroma monteiroi	Uccello delle tempeste di Monteiro	Azorenwellenläufer	Océanite de Monteiro	Paíño de Monteiro	Painho-de-monteiro	Monteiro's Storm-Petrel
