LAT	IT	DE	FR	ES	PT	EN
Phylloscopus bonelli/orientalis	Luì bianco	Berglaubsänger	Pouillot de Bonelli	Mosquitero Papialbo	Felosa de Bonelli	Western/Eastern Bonelli's Warbler
Phylloscopus inornatus	Luì forestiero	Gelbbrauen-Laubsänger	Pouillot à grands sourcils	Mosquitero Bilistado	Felosa-bilistada	Yellow-browed Warbler
Phylloscopus humei	Luì di Hume	Tienschan-Laubsänger	Pouillot de Hume	Mosquitero de Hume	Felosa-listada de Hume	Hume's Warbler
Phylloscopus inornatus/humei	Luì forestiero	Gelbbrauen-Laubsänger	Pouillot à grands sourcils	Mosquitero Bilistado	Felosa-bilistada	Yellow-browed/Hume's Warbler
Phylloscopus proregulus	Luì di Pallas	Goldhähnchen-Laubsänger	Pouillot de Pallas	Mosquitero de Pallas	Estrelinha de Pallas	Pallas's Leaf Warbler
Phylloscopus schwarzi	Luì di Radde	Bartlaubsänger	Pouillot de Schwarz	Mosquitero de Schwarz	Felosa de Schwarz	Radde's Warbler
Phylloscopus fuscatus	Luì scuro	Dunkellaubsänger	Pouillot brun	Mosquitero sombrío	Felosa-sombria	Dusky Warbler
Phylloscopus fuscatus/fuligiventer	Luì scuro	Dunkellaubsänger	Pouillot brun ou P. enfumé	Mosquitero sombrío	Felosa-sombria	Dusky/Smoky Warbler
Phylloscopus neglectus	Luì nano	Eichenlaubsänger	Pouillot modeste	Mosquitero Sencillo	Felosa do Irão	Plain Leaf Warbler
Phylloscopus trochilus	Luì grosso	Fitis	Pouillot fitis	Mosquitero Musical	Felosa-musical	Willow Warbler
Phylloscopus sindianus	Luì piccolo orientale	Bergzilpzalp	Pouillot montagnard	Mosquitero Montano	Felosa-da-montanha	Mountain Chiffchaff
Phylloscopus sindianus lorenzii	Luì piccolo orientale	Bergzilpzalp-lorenzii	Pouillot de Lorenz			Mountain Chiffchaff (Caucasian)
Phylloscopus sindianus sindianus	Luì piccolo orientale	Kaukasuszilpzalp	Pouillot montagnard	Mosquitero Occidental	Felosa-da-montanha	Mountain Chiffchaff (Kashmir)
Phylloscopus canariensis	Luì piccolo delle Canarie	Kanarenzilpzalp	Pouillot des Canaries	Mosquitero Canario	Felosa das Canáris	Canary Islands Chiffchaff
Phylloscopus collybita	Luì piccolo	Zilpzalp	Pouillot véloce	Mosquitero Común	Felosa-comum	Common Chiffchaff
Phylloscopus collybita [collybita Group]	Luì piccolo	Zilpzalp	Pouillot véloce	Mosquitero Común	Felosa-comum	Common Chiffchaff (Common)
Phylloscopus collybita tristis	Luì siberiano	Sibirien-Zilpzalp	Pouillot de Sibérie	Mosquitero siberiano		Common Chiffchaff (Siberian)
Phylloscopus trochilus/collybita			Pouillot fitis ou P. véloce			Willow Warbler/Common Chiffchaff
Phylloscopus ibericus	Luì piccolo iberico	Iberienzilpzalp	Pouillot ibérique	Mosquitero Ibérico	Felosa-ibérica	Iberian Chiffchaff
Phylloscopus trochilus/collybita/ibericus			Pouillot fitis, P. véloce, P. de Sibérie ou P. ibérique			Willow Warbler/Common Chiffchaff/Iberian Chiffchaff
Phylloscopus collybita/ibericus			Pouillot véloce ou P. ibérique			Common/Iberian Chiffchaff
Phylloscopus coronatus	Luì coronato di Temminck	Kronenlaubsänger	Pouillot de Temminck	Mosquitero Coronado	Felosa-coroada-oriental	Eastern Crowned Warbler
